DATASET: ca4663.tsp
30733.3 31866.7
30762.2 31831.1
30799.4 31894.7
30783.3 31916.7
30803.9 31911.1
30800 31950
30783.3 31966.7
30766.7 31966.7
30816.7 31950
30817.8 31921.1
30826.9 31898.6
30816.7 31916.7
30790.6 31909.2
30716.7 31933.3
30750 31966.7
30783.9 31976.1
30794.7 31980.8
30795.3 31980.8
30800 32000
30816.7 32016.7
30840.3 32011.1
30812.5 32005.6
30816.7 31983.3
30816.7 31966.7
30830 31931.7
30863.6 31942.8
30861.1 31964.2
30904.4 31961.9
30906.7 31943.3
30890.6 31937.2
30887.5 31959.4
30925 31927.8
30971.4 31872.8
31025 31854.2
31063.9 31859.7
31052.8 31825
31045.8 31825
31068.1 31848.6
31079.2 31858.3
31063.9 31827.8
31047.2 31854.2
31083.3 31900
31031.9 31926.4
31020.8 31891.7
31066.7 31933.3
31066.7 31966.7
31029.2 31930.6
31073.6 31897.2
31120.8 31893.1
31149.7 31917.5
31156.4 31891.7
31194.4 31847.2
31181.1 31867.2
31166.7 31866.7
31172.5 31885.6
31158.3 31936.9
31166.7 31983.3
31156.9 31970.8
31156.1 31970.8
31175 32000
31171.9 32012.5
31180.6 32000
31195.8 31984.7
31190.6 31976.4
31206.9 31971.1
31212.5 31994.7
31333.3 32103.3
31358.3 32068.1
31357.5 32069.4
31315.3 32133.6
31287.5 32191.7
31295.8 32170
31258.6 32286.7
31268.3 32282.5
31233.3 32300
31239.4 32278.3
31266.7 32300
30950 32750
30933.3 32750
31003.6 32827.5
31004.2 32918.3
31016.4 33010.6
31030.3 33083.6
31020.8 32886.1
31035.8 33100.6
31041.4 33166.7
31050 33226.4
31043.1 33382.2
31043.1 33361.9
31138.6 33814.2
31145 33818.3
31133.3 33816.7
31124.4 33800.6
31156.4 33878.9
30833.3 34116.7
31283.3 34233.3
31219.4 34107.2
31233.3 34116.7
31184.7 34138.1
31209.2 34137.8
30668.9 34366.7
30000 34683.3
29686.1 34297.2
29916.7 33750
29910.8 33743.3
30465.3 33781.7
29600 32666.7
29433.3 32766.7
29266.7 32966.7
29049.7 33103.6
28903.6 33187.5
28355.3 33100.8
28237.2 33613.9
28473.6 33330.8
28664.7 33871.7
28967.5 34649.7
29016.7 34666.7
29486.4 34901.9
29033.3 34666.7
28483.3 34533.3
28078.6 34427.2
28116.7 34350
27863.6 34288.1
28197.8 33627.5
27633.3 33583.3
27233.3 33833.3
27000 33250
26733.3 33933.3
26750 33933.3
26100 34283.3
25066.7 33783.3
25083.3 34900
23945.6 35484.2
23958.1 35447.5
24450 35200
24083.3 32916.7
24116.7 32883.3
24050 32883.3
24050 32866.7
23883.3 32866.7
23883.3 32883.3
23550 32883.3
23550 32866.7
23433.3 32900
23383.3 32950
23266.7 32933.3
23200 32833.3
23166.7 32733.3
23083.3 32683.3
23050 32733.3
22750 32566.7
22766.7 32516.7
22750 32133.3
22733.3 32166.7
22650 32016.7
22633.3 31950
22500 31883.3
22366.7 31633.3
22216.7 31516.7
22233.3 31566.7
22516.7 31866.7
22616.7 31950
22716.7 32066.7
22650 32383.3
22616.7 32416.7
22600 32333.3
22633.3 32266.7
22866.7 32583.3
22983.3 32650
23050 32683.3
23133.3 32750
23200 32750
23166.7 32766.7
23283.3 32866.7
23400 32933.3
23483.3 32883.3
23533.3 32883.3
23666.7 32883.3
23683.3 32883.3
23783.3 32916.7
23866.7 32900
23900 32850
24000 32866.7
24016.7 32866.7
24066.7 32883.3
24087.5 32898.9
24133.3 32900
24116.7 32900
24150 32900
24133.3 32883.3
24150 32866.7
24100 32883.3
24083.3 32883.3
24116.7 32866.7
24133.3 32866.7
24150 32883.3
24183.3 32883.3
24216.7 32850
24216.7 32883.3
24200 32883.3
24200 32850
24316.7 32900
24366.7 32900
24366.7 32916.7
24383.3 32916.7
24400 32900
24416.7 32866.7
24400 32916.7
24400 32983.3
24416.7 32933.3
24416.7 32900
24400 33033.3
24500 33000
24516.7 33150
24450 33050
24450 33016.7
24533.3 33033.3
24566.7 33033.3
24550 32916.7
24566.7 32933.3
24483.3 32866.7
24500 32883.3
24483.3 32883.3
24535.3 32903.1
24483.3 32916.7
24450 32900
24450 32933.3
24433.3 32916.7
24433.3 32900
24433.3 32883.3
24400 32883.3
24316.7 32950
24266.7 32900
24250 32900
24250 32883.3
24233.3 32866.7
24233.3 32883.3
24250 32866.7
24283.3 32883.3
24333.3 32916.7
24400.3 32930.6
24416.7 32966.7
24433.3 32950
24483.3 33016.7
24483.3 32966.7
24479.2 32943.6
24516.7 32950
24533.3 32933.3
24550 32883.3
24666.7 32916.7
24683.3 32933.3
24616.7 32950
24616.7 32900
24616.7 32933.3
24700 32933.3
24666.7 32950
24700 32916.7
24766.7 32933.3
24733.3 32916.7
24783.3 32916.7
24783.3 32900
24733.3 32933.3
24738.9 32941.7
25000 33316.7
24980.3 32874.7
24983.3 32900
24916.7 32850
24933.3 32833.3
24900 32850
24900 32883.3
24883.3 32850
24866.7 32850
24866.7 32833.3
24800 32866.7
24850 32850
24850 32866.7
24866.7 32866.7
24883.3 32866.7
24833.3 32866.7
24883.3 32833.3
24900 32866.7
24916.7 32833.3
24933.3 32866.7
24966.7 32866.7
24932.5 32891.9
24900 32950
25033.3 32866.7
25000 32883.3
25000 32866.7
25033.3 32850
25066.7 32833.3
25050 32866.7
25100 32783.3
25050 32850
25066.7 32816.7
25116.7 32750
25150 32716.7
25166.7 32700
25133.3 32733.3
25133.3 32783.3
25166.7 32750
25150 32733.3
25133.3 32716.7
25183.3 32683.3
25233.3 32650
25216.7 32650
25216.7 32666.7
25183.3 32633.3
25233.3 32583.3
25266.7 32600
25250 32616.7
25333.3 32583.3
25383.3 32566.7
25366.7 32550
25433.3 32533.3
25450 32500
25416.7 32566.7
25383.3 32533.3
25350 32550
25300 32550
25283.3 32583.3
25250 32550
25266.7 32583.3
25250 32566.7
25300 32533.3
25366.7 32500
25333.3 32533.3
25450 30800
25500 30633.3
25566.7 30600
25616.7 30650
25683.3 30616.7
25600 30633.3
25550 30616.7
25566.7 30616.7
25466.7 30566.7
25383.3 30516.7
25400 30550
25350 30583.3
25250 30566.7
25283.3 30550
25433.3 30550
25383.3 30616.7
25383.3 30550
25333.3 30516.7
25200 30550
24716.7 30583.3
24666.7 30600
24516.7 30666.7
24516.7 30650
24500 30600
24550 30600
24516.7 30600
24566.7 30583.3
24866.7 30550
25066.7 30533.3
25100 30550
25216.7 30533.3
25200 30533.3
25250 30516.7
25483.3 29233.3
25516.7 29350
25550 29266.7
25500 29066.7
25533.3 29066.7
25483.3 28983.3
25550 28983.3
25683.3 28933.3
25583.3 28933.3
25700 28750
25566.7 28850
25550 28900
25700 28883.3
28350 28916.7
28366.7 28933.3
28366.7 28966.7
28333.3 29116.7
28350 28850
28350 28866.7
28033.3 28650
27066.7 27966.7
29183.3 25516.7
29200 25533.3
29200 25516.7
29216.7 25533.3
29350 25383.3
29216.7 25400
29183.3 25566.7
29150 25783.3
29616.7 26500
31400 26500
31466.7 26516.7
31400 26883.3
31450 26400
31500 26250
31533.3 26166.7
31516.7 25200
31500 25350
31516.7 25133.3
31566.7 25150
31500 25533.3
31566.7 25900
31600 25916.7
31583.3 26016.7
31583.3 26100
31583.3 26116.7
31466.7 26133.3
31533.3 26300
31566.7 26200
31483.3 26433.3
31516.7 26400
31500 26433.3
31466.7 26450
31400 26633.3
31433.3 26850
31433.3 26966.7
31366.7 27116.7
31400 27050
31350 27100
31350 27233.3
31166.7 27250
31166.7 27100
31233.3 27383.3
31171.1 27673.3
31203.1 27826.7
31156.7 27658.9
31086.4 27895.8
31068.1 27918.6
31083.3 28083.3
31033.3 28433.3
30983.3 28600
31083.3 28433.3
31066.7 28433.3
30983.3 28800
30866.7 28900
30816.7 28950
30866.7 29333.3
30950 29416.7
30883.3 29433.3
30833.3 29500
30798.1 29569.4
30833.3 29516.7
30716.7 29500
30766.7 29433.3
30816.7 29433.3
30833.3 29383.3
30883.3 29366.7
30850 29266.7
30850 29300
30850 29283.3
30816.7 29283.3
30783.3 29100
30816.7 29166.7
30833.3 29266.7
30916.7 29433.3
30933.3 29483.3
30916.7 29450
30933.3 29500
30866.7 29516.7
30916.7 29533.3
30933.3 29550
30916.7 29566.7
30982.8 29664.2
30966.7 29550
30963.9 29552.8
30966.7 29566.7
30982.2 29586.7
31016.7 29633.3
30966.7 29616.7
30946.4 29629.7
30900 29683.3
30966.1 29634.2
30926.1 29590.3
30916.7 29600
30932.2 29603.9
30933.3 29583.3
30877.8 29568.9
30822.8 29620.8
30802.8 29602.2
30853.6 29636.9
30859.7 29687.2
30815.8 29808.9
30787.2 29802.8
30683.3 29855.6
30765.3 29892.2
30788.6 29970.3
30776.9 29953.9
30829.7 29925
30876.4 29878.1
30946.4 29889.2
30905 29870.6
30907.8 29890.8
31005.3 29895.3
30985.3 29931.1
31028.1 29966.1
31050 30083.3
31059.2 30093.6
31080 30103.3
31068.6 30086.7
31083.3 30116.7
31133.3 30116.7
31120.3 30125.8
31133.3 30133.3
31166.7 30133.3
31138.1 30178.1
31123.3 30150
31150.6 30168.1
31162.8 30187.8
31183.3 30167.8
31189.7 30208.3
31183.3 30216.7
31163.1 30179.2
31133.3 30183.3
31104.4 30210
31116.7 30200
31103.6 30171.1
31076.4 30212.2
31116.7 30266.7
31150 30250
31121.9 30266.4
31133.3 30250
31122.5 30257.5
31158.6 30254.4
31180 30235.3
31185.8 30253.1
31185 30273.3
31288.3 30276.4
31269.2 30212.2
31266.9 30202.2
31266.7 30233.3
31305.6 30299.2
31246.4 30314.4
31243.1 30347.2
31290.8 30354.4
31266.7 30397.8
31260.3 30407.2
31227.8 30414.2
31221.7 30392.2
31198.3 30325.6
31203.1 30322.2
31217.2 30348.3
31232.8 30376.4
31270.8 30414.4
31235.8 30413.1
31212.5 30409.4
31239.2 30425.6
31262.8 30416.4
31276.9 30445
31276.4 30466.4
31267.5 30464.7
31250 30466.7
31258.9 30459.4
31249.2 30450
31256.7 30465.6
31246.1 30493.3
31225.8 30476.4
31225.3 30505.6
31195.3 30500
31207.8 30512.2
31185.3 30532.8
31165.8 30542.5
31166.4 30521.4
31163.6 30525.3
31177.2 30525
31202.5 30547.2
31231.1 30585.6
31262.8 30581.1
31247.8 30587.5
31163.3 30588.3
31201.7 30571.4
31237.2 30559.4
31283.3 30566.7
31295.8 30543.3
31303.9 30556.1
31326.7 30585.8
31331.1 30582.5
31307.8 30555
31326.9 30555.3
31328.1 30533.3
31383.1 30491.7
31372.5 30491.1
31385.3 30486.9
31374.4 30561.4
31379.2 30546.4
31370.3 30525.6
31331.9 30489.2
31341.4 30486.7
31327.5 30480
31303.9 30479.4
31298.6 30471.9
31318.6 30448.3
31341.4 30463.9
31350 30483.3
31332.8 30472.2
31331.4 30457.2
31348.6 30506.9
31356.7 30493.3
31316.7 30488.3
31293.6 30512.5
31246.4 30551.9
31258.6 30515
31316.9 30522.8
31311.1 30524.7
31291.9 30483.6
31266.9 30491.4
31245.6 30562.2
31249.2 30555.8
31240.3 30553.6
31263.6 30503.9
31233.3 30483.3
31237.8 30483.1
31233.3 30500
31223.1 30528.6
31151.7 30526.7
31178.3 30533.9
31178.6 30503.6
31184.2 30502.8
31186.1 30541.4
31180 30509.2
31185 30489.7
31185.8 30519.2
31170.3 30545.6
31208.3 30561.4
31193.1 30566.7
31182.5 30592.2
31175.8 30588.9
31169.7 30595.8
31178.9 30625.3
31112.2 30662.5
31098.1 30665.6
31097.2 30671.7
31137.5 30617.8
31145.3 30608.3
31141.4 30610.8
31123.9 30612.8
31109.4 30596.1
31117.2 30627.5
31112.8 30600.6
31123.6 30602.5
31113.1 30590.6
31102.8 30584.4
31093.1 30596.7
31059.4 30588.6
31045.8 30594.2
31033.9 30632.8
31006.7 30618.9
31009.2 30636.9
31012.2 30653.9
31037.8 30624.2
31057.5 30606.4
31015.6 30656.4
31044.2 30633.9
30980.6 30672.2
31026.4 30665
31020.8 30668.9
31026.1 30693.1
31049.7 30690.3
31066.7 30716.7
31059.4 30760.3
31069.4 30768.3
31103.6 30680.8
31129.4 30646.4
31105.6 30642.8
31111.7 30616.7
31138.3 30712.2
31185.3 30736.1
31198.1 30722.8
31173.1 30709.2
31157.2 30727.5
31184.2 30716.4
31193.9 30745.3
31161.7 30762.8
31134.4 30771.7
31115.8 30785
31069.4 30784.7
31099.4 30816.7
31056.7 30796.4
31034.4 30794.4
31023.3 30778.6
31035 30778.1
31016.9 30761.4
31014.4 30731.9
30966.9 30731.1
30975 30718.1
30971.4 30707.8
30967.5 30723.6
30959.7 30716.9
30959.4 30717.5
30985.3 30718.1
30986.9 30684.7
30974.7 30673.9
30978.6 30673.6
30979.2 30728.3
30968.3 30699.7
30947.8 30665.6
30950 30666.7
30997.2 30640.6
30990.3 30632.8
30960 30641.1
30940.3 30615.3
30916.7 30600
30894.4 30590.8
30903.9 30590.6
30897.2 30582.2
30884.7 30587.5
30880.6 30591.1
30865.3 30617.2
30886.7 30665
30881.7 30690.6
30918.1 30693.3
30900 30683.3
30898.6 30690.3
30898.6 30638.3
30910.3 30661.1
30899.4 30667.2
30924.4 30676.4
30922.5 30676.1
30938.6 30657.8
30941.7 30678.9
30960.3 30679.4
30931.7 30656.1
30956.9 30684.7
31008.6 30669.4
31015.6 30664.2
30989.2 30683.9
30982.2 30646.4
30955.6 30662.5
30961.7 30659.7
30891.4 30611.7
30922.2 30558.6
30911.7 30544.4
30919.4 30532.8
30919.4 30508.3
30911.7 30543.1
30909.7 30534.4
30884.7 30501.4
30895.3 30475.6
30880.8 30463.3
30906.9 30454.7
30899.7 30490.3
30905 30503.9
30909.2 30516.9
30929.2 30533.6
30931.9 30537.5
30928.6 30520.3
30931.7 30505.3
30912.5 30504.7
30900 30483.3
30925 30476.7
30956.1 30434.2
30983.9 30426.7
30989.2 30433.6
30984.7 30464.4
31015.6 30490
31005.8 30473.9
30987.5 30509.7
30981.4 30506.7
30991.4 30570
30973.6 30520.8
30957.5 30479.7
30948.9 30460.3
30966.7 30450
31000 30450
31016.7 30483.3
31083.3 30433.3
31083.3 30450
31103.6 30478.1
31100 30450
31123.6 30483.3
31115 30474.4
31153.1 30383.1
31159.2 30357.5
31183.9 30335.6
31270.6 30351.9
31318.1 30396.9
31321.4 30383.1
31334.7 30403.1
31435.8 30388.6
31443.3 30385
31412.2 30431.9
31456.7 30416.9
31453.9 30419.7
31448.6 30401.1
31446.9 30391.7
31456.1 30400.3
31388.3 30423.9
31380 30445.8
31371.7 30456.7
31372.5 30428.1
31382.5 30436.7
31397.5 30433.3
31413.1 30429.2
31404.4 30416.4
31386.7 30423.1
31340 30458.9
31351.1 30436.1
31363.9 30454.2
31331.4 30420.3
31333.6 30410.8
31318.9 30413.3
31317.8 30454.2
31313.3 30471.7
31338.6 30449.4
31348.6 30456.9
31352.8 30447.5
31351.4 30468.1
31353.9 30480.6
31360 30486.7
31378.3 30506.9
31401.9 30503.3
31371.4 30498.1
31335.3 30511.9
31270 30540.6
31291.9 30533.3
31281.4 30490
31285 30463.3
31285.8 30446.4
31278.9 30435
31294.2 30446.7
31321.1 30431.4
31310.6 30428.3
31326.1 30406.7
31325.6 30379.4
31360.3 30401.7
31287.8 30366.9
31286.7 30239.7
31281.1 30232.5
31269.4 30166.7
31249.7 30139.2
31259.4 30148.9
31266.1 30125.8
31209.4 30109.7
31207.8 30113.6
31227.8 30111.7
31221.4 30129.7
31216.7 30116.7
31196.7 30097.5
31171.1 30103.6
31161.7 30086.1
31100 30083.3
31060.3 30068.3
31049.2 30069.4
31089.7 30088.9
31094.2 30142.5
31116.7 30150
31100 30150
31106.9 30183.9
31100 30166.7
31083.3 30150
31033.3 30116.7
31050 30150
31129.2 30198.3
31136.7 30190.6
31149.7 30243.9
31177.2 30185.3
31181.7 30170.8
31237.2 30133.3
31253.3 30051.9
31197.2 30014.7
31214.7 30025.8
31243.1 30019.2
31229.2 30019.2
31250 30000
31273.3 30030.6
31290.3 30032.8
31271.4 30044.2
31251.9 30028.1
31283.3 30016.7
31265.3 30018.3
31262.8 30029.7
31266.7 30000
31275 30009.2
31233.3 30000
31205.6 30030.3
31200 30033.3
31243.6 30039.7
31281.7 30028.6
31300 30050
31275.8 30061.7
31259.2 30056.4
31233.3 30080
31213.9 30074.2
31203.6 30037.5
31216.7 30033.3
31227.5 30035
31202.5 30026.9
31196.9 30050.8
31178.6 30027.5
31196.4 30056.7
31148.1 29997.2
31152.5 29850.3
31166.7 29866.7
31180.6 29887.8
31175.6 29878.3
31165.6 29873.9
31143.6 29845.6
31200.6 29883.3
31179.7 29936.1
31221.9 29934.2
31200.3 29985.8
31233.3 29950
31230 29970.6
31229.2 29984.4
31240.3 29968.6
31204.7 29959.2
31226.9 29952.5
31242.2 29966.4
31256.7 29986.4
31232.2 29963.9
31200 29916.7
31198.1 29919.2
31202.2 29931.1
31191.7 29911.9
31212.2 29924.7
31187.8 29900.8
31133.6 29820.3
31108.6 29785
31111.4 29765
31140.6 29785.3
31083.3 29866.7
31057.8 29837.8
31062.2 29819.4
31038.1 29826.9
30993.3 29783.6
30977.8 29763.3
30983.3 29766.7
30992.5 29766.7
31066.7 29750
31004.2 29720.8
30900 29716.7
30898.6 29743.3
30909.4 29759.2
30890 29756.1
30866.7 29716.7
30893.6 29720.3
30875 29761.4
30938.9 29739.7
30909.2 29735
30924.7 29775.8
30900 29766.7
30883.3 29716.7
30883.3 29733.3
30882.2 29776.7
30900 29783.3
30878.6 29798.9
30855 29789.2
30864.4 29818.6
30849.2 29876.9
30848.3 29928.3
30918.9 29949.2
30887.8 29898.1
30929.7 29867.2
30880.8 29848.6
30901.7 29831.1
30852.8 29839.2
30830.6 29857.2
30800 29847.2
30816.1 29960.8
30877.8 29995
30697.2 30029.2
30705.6 30008.3
30695.8 30072.2
30734.7 30075
30705.6 30149.7
30675 30145.8
30725 30133.6
30719.4 30250.6
30738.9 30251.4
30695.8 30165.3
30891.7 30120.3
30858.6 30152.2
30868.6 30210.8
30912.8 30249.4
30916.7 30200
30993.6 30198.6
30983.3 30183.3
30987.8 30175.6
30933.3 30116.7
30941.9 30108.3
30938.9 30083.1
30914.7 30076.1
30919.4 30135.8
30876.7 30163.6
30849.4 30179.4
30933.1 30139.2
30971.1 30173.6
30959.4 30152.8
30911.7 30032.2
30950 30066.7
30933.3 30033.3
30954.4 30023.1
30900 30016.7
30924.7 29990
30948.6 29959.4
30947.8 29920.8
30945.6 29852.5
30984.2 29879.4
31010.6 29854.2
31015.6 29872.2
30943.1 29835.8
30913.9 29803.6
30986.7 29755
30966.7 29766.7
30975.8 29836.1
30978.6 29808.9
30991.4 29830.3
30938.3 29806.1
31013.6 29805.3
31004.7 29796.7
31078.9 29723.1
31068.1 29834.4
31053.3 29940.8
31036.7 29912.8
31018.6 29924.4
30977.2 29927.2
31009.4 29939.7
30982.2 29976.4
30945.8 29972.8
30977.2 29964.7
30997.2 29949.7
31017.5 30049.2
30977.5 30055
31083.3 29983.3
31100 30016.7
31107.5 30021.7
31100 30050
31070.3 30075.8
31049.2 30088.3
31033.3 30115.6
31065 30132.2
31050 30166.7
31050.3 30191.1
31083.3 30200
31100 30250
31073.3 30263.6
31033.3 30266.7
31037.2 30267.5
31016.7 30283.3
31003.3 30312.5
30953.3 30324.4
30912.8 30290.6
30801.1 30299.2
30796.4 30361.4
30818.1 30450
30774.4 30461.7
30817.5 30470.3
30826.4 30520.8
30888.1 30492.5
30884.7 30502.8
30879.2 30519.4
30891.7 30526.4
30915.3 30496.1
30925 30506.9
30905.6 30514.4
30866.7 30533.3
30881.7 30485.8
30907.8 30489.2
30933.3 30483.3
30936.4 30430
30910.8 30476.4
30934.7 30523.6
30931.9 30525
30930.8 30537.5
30906.9 30548.1
30865.3 30547.2
30846.7 30544.4
30883.3 30550
30870.8 30570.8
30891.7 30550.3
30897.2 30545.8
30916.1 30536.1
30901.4 30539.4
30884.4 30560.6
30919.4 30580.6
30916.7 30583.3
30888.9 30577.8
30893.9 30593.9
30850 30594.7
30853.6 30561.4
30833.6 30578.3
30816.7 30599.2
30817.2 30598.1
30824.2 30607.8
30808.3 30547.8
30859.2 30525.8
30823.6 30504.2
30828.3 30466.9
30839.7 30484.4
30835.3 30479.7
30899.7 30406.4
30834.7 30436.4
30878.9 30437.5
30883.1 30412.2
30916.7 30383.3
30945.6 30376.4
30959.4 30385
30944.2 30426.1
30966.7 30466.7
30988.1 30453.3
30939.2 30443.3
30932.5 30383.9
30889.4 30421.7
30893.9 30381.9
30896.4 30349.7
30843.6 30278.9
30802.5 30277.5
30800.6 30316.1
30747.2 30216.7
30720.8 30108.3
30684.7 30084.7
30656.4 30051.4
30690.3 30130.6
30650 30116.1
30663.9 30075
30647.2 29997.2
30670.8 29916.7
30636.1 29918.1
30627.8 29968.1
30600 30019.4
30597.2 30016.1
30582.5 30069.4
30697.2 30231.9
30705.6 30308.3
30716.7 30352.8
30750 30333.3
30765.6 30291.4
30815 30261.7
30827.8 30248.1
30843.9 30223.3
30870.6 30198.6
30900 30216.7
30880 30271.4
30900 30266.7
30916.7 30266.7
30958.3 30283.3
30876.7 30308.6
30876.1 30351.9
30805 30366.9
30802.5 30370.6
30916.4 30351.1
30913.9 30281.7
30898.9 30230.3
30928.3 30183.3
30908.3 30177.5
30949.7 30185
30933.3 30216.1
30918.3 30230.3
30900 30250
30966.4 30249.2
31050 30233.3
31033.3 30242.2
31024.2 30206.7
31006.9 30219.7
31010.8 30192.5
31073.6 30195.8
31045.3 30170.8
31139.7 30129.2
31157.5 30118.1
31116.7 30116.7
31135.3 30101.7
31146.9 30108.6
31185.6 30114.2
31183.6 30099.7
31146.9 30096.4
31185 30116.7
31195.8 30161.4
31183.1 30167.8
31179.4 30154.7
31186.4 30141.1
31194.4 30079.7
31191.9 30085.6
31241.7 30083.6
31235 30085.8
31256.9 30095.3
31258.3 30136.1
31214.4 30153.1
31215 30130.6
31241.7 30085.3
31235.6 30115.3
31229.4 30096.4
31242.8 30049.4
31266.7 30016.7
31321.9 30060.8
31533.3 30183.3
31433.1 30396.1
31455.3 30383.1
31425 30396.9
31440 30386.4
31428.9 30395
31441.1 30424.4
31427.5 30429.2
31451.7 30420.8
31406.9 30445
31406.4 30491.7
31384.2 30491.4
31400.3 30483.6
31378.9 30483.3
31404.4 30505
31359.2 30494.4
31357.5 30454.7
31401.9 30495
31402.5 30488.3
31393.1 30490.8
31371.7 30451.1
31353.6 30484.4
31334.4 30437.8
31304.4 30420.3
31280.8 30414.7
31282.2 30409.7
31266.1 30421.4
31254.7 30406.7
31288.1 30400.3
31276.7 30406.1
31289.4 30443.6
31301.7 30434.7
31273.6 30450
31265.6 30476.1
31267.5 30480.6
31316.7 30508.1
31295 30518.9
31338.6 30536.9
31337.8 30549.2
31332.2 30601.7
31323.6 30577.8
31354.7 30627.5
31341.4 30639.7
31350 30616.7
31334.7 30625.8
31358.1 30681.1
31312.2 30683.6
31292.2 30674.2
31316.7 30665.3
31269.2 30691.1
31281.1 30671.7
31262.2 30674.7
31253.1 30708.3
31231.1 30711.7
31218.1 30658.1
31185.8 30686.7
31189.2 30662.8
31179.7 30645.6
31155.8 30619.2
31162.2 30660
31214.7 30697.5
31209.2 30678.6
31234.7 30657.8
31240.8 30676.4
31228.1 30666.9
31237.8 30626.9
31233.3 30633.3
31195.6 30653.6
31186.7 30673.9
31212.8 30623.6
31200.3 30603.6
31225.8 30603.1
31134.2 30581.7
31098.3 30570.3
31110.6 30565.3
31101.4 30547.5
31147.5 30560.6
31145 30558.3
31160.6 30558.9
31131.9 30559.4
31119.7 30513.1
31097.2 30542.2
31133.3 30483.3
31160.8 30462.2
31186.9 30453.1
31182.5 30439.4
31228.9 30456.1
31255 30466.7
31232.2 30489.4
31248.9 30493.6
31230.8 30511.1
31210.6 30498.6
31189.4 30516.1
31170.3 30503.3
31170.6 30440.8
31216.1 30437.2
31207.2 30423.1
31185.6 30404.4
31198.9 30400
31196.1 30386.9
31186.1 30367.8
31205 30379.4
31172.5 30366.9
31142.8 30326.7
31150 30333.3
31124.2 30324.2
31083.3 30316.7
31110 30336.4
31100 30350
31083.3 30366.7
31104.2 30299.4
31066.7 30266.7
31067.8 30281.7
31066.7 30283.3
31066.9 30298.9
31100 30300
31136.1 30348.6
31102.8 30363.3
31083.3 30350
31066.7 30366.7
31055.8 30357.5
30995.3 30336.7
31020.3 30289.2
30997.2 30273.3
31016.7 30300
31018.6 30338.9
31016.7 30316.7
31058.9 30323.6
31034.2 30322.5
31012.5 30329.7
30968.1 30292.2
31000 30250
31025 30270.6
31050 30300
31041.1 30265.3
31043.3 30284.2
31028.1 30305.6
31066.7 30300
31083.3 30250
31055.3 30220
31050 30200
31066.7 30216.7
31116.7 30233.3
31145.8 30226.1
31153.3 30275.3
31133.3 30316.7
31172.5 30347.2
31148.9 30359.7
31185.3 30340
31197.2 30355.6
31208.9 30396.7
31215.8 30400.8
31255 30412.5
31257.5 30441.9
31267.5 30436.4
31276.7 30433.9
31242.8 30443.1
31238.9 30423.1
31203.3 30433.3
31193.9 30422.8
31195.6 30398.6
31133.3 30450
31126.1 30461.1
31150 30466.7
31111.9 30390.6
31053.1 30342.8
31045.6 30346.1
31039.2 30360.8
31121.7 30375.8
31093.3 30414.7
31083.3 30416.7
31070.6 30406.1
30983.3 30400
30984.2 30375.8
31023.3 30338.3
30995.3 30338.6
31012.2 30389.2
31016.7 30416.7
31021.4 30432.8
31013.9 30422.5
31047.8 30424.4
31064.7 30458.6
31000 30466.7
31033.3 30466.7
30974.7 30476.4
30947.8 30508.1
30964.7 30529.2
30963.9 30513.9
30966.1 30530.3
30983.9 30530.6
30944.4 30558.3
30938.6 30550.6
30915.3 30541.1
30879.2 30529.4
30881.1 30550.3
30865 30577.2
30866.1 30574.2
30869.4 30585.6
30855.8 30617.5
30859.7 30609.7
30855.6 30615.3
30866.7 30650
30875.6 30644.4
30841.9 30677.2
30825.8 30665
30848.6 30709.7
30866.7 30683.3
30872.2 30674.4
30897.8 30683.6
30869.7 30702.2
30890.3 30733.6
30888.1 30735
30884.4 30731.9
30901.4 30735.8
30872.8 30743.1
30874.2 30748.1
30931.1 30716.9
30938.3 30702.2
30936.4 30668.1
30888.1 30691.7
30851.4 30694.4
30810.3 30686.4
30803.3 30713.9
30835.8 30684.2
30867.5 30716.9
30902.8 30723.6
30860.8 30734.4
30847.2 30729.4
30871.4 30694.2
30870 30693.1
30841.4 30675
30810.3 30660.8
30780.8 30647.8
30762.5 30686.1
30763.6 30713.6
30783.6 30704.2
30790.8 30736.7
30772.8 30731.9
30789.2 30725.6
30813.3 30738.3
30806.4 30746.7
30839.4 30722.2
30876.7 30740.6
30910 30755
30881.1 30767.2
30890.3 30790.3
30829.2 30785.3
30856.4 30796.9
30824.4 30772.5
30795.6 30784.4
30790.3 30825.8
30810 30835.8
30800 30801.4
30776.9 30828.9
30783.3 30833.3
30761.1 30881.1
30746.9 30881.4
30752.5 30929.7
30778.1 30978.3
30741.4 30936.9
30730.3 30921.9
30708.6 30884.2
30692.5 30854.7
30695.3 30882.5
30638.6 30933.1
30643.3 30943.9
30613.9 30945.3
30584.4 30959.7
30583.9 30959.7
30638.6 30842.2
30624.4 30837.8
30593.6 30806.1
30545.6 30830.8
30523.1 30836.7
30551.1 30810.3
30557.8 30838.6
30579.2 30850.3
30570.8 30848.6
30601.4 30820.6
30623.3 30805.3
30607.8 30819.7
30604.7 30842.8
30635.8 30883.9
30616.7 30895
30593.6 30903.3
30582.8 30927.2
30558.6 31010
30550 30933.3
30550 30900
30483.3 30883.3
30450 30883.3
30550 30850
30502.5 30826.1
30530 30858.1
30547.8 30889.2
30573.3 30898.6
30578.6 30898.3
30574.7 30885.6
30568.9 30890.6
30528.6 30923.3
30499.7 30919.4
