DATASET: dj38.tsp
17760.3 31136.7
17741.1 31136.1
17733.3 31133.3
17735.6 31129.2
17733.3 31116.7
17683.3 31083.3
17600 31133.3
17300 31333.3
17316.7 31566.7
16933.3 32066.7
16700 31966.7
16733.3 31783.3
16566.7 31583.3
16783.3 31583.3
16933.3 31716.7
16916.7 31533.3
17016.7 31450
16950 31333.3
16800 31116.7
16516.7 31183.3
16250 31516.7
16233.3 31533.3
16200 31583.3
15700 30316.7
16500 29933.3
16516.7 29983.3
16750 30233.3
16900 30150
17266.7 30033.3
17366.7 30200
17350 30233.3
17416.7 30166.7
17766.7 30166.7
17766.7 30400
17650 30483.3
17533.3 30450
17383.3 30400
17316.7 30516.7
17150 30666.7
17033.3 30433.3
16950 30500
16916.7 30700
16666.7 30700
16716.7 30900
17033.3 30866.7
17033.3 30850
17133.3 30900
17233.3 31000
17266.7 31050
17266.7 31066.7
17283.3 31066.7
17283.3 31050
17316.7 31033.3
17333.3 31033.3
17350 31066.7
17366.7 31100
17366.7 31033.3
17383.3 31033.3
17366.7 30950
17383.3 30950
17466.7 30916.7
17516.7 30966.7
17633.3 30950
17666.7 30800
17883.3 30700
17716.7 30550
17966.7 30433.3
18083.3 30450
18300 30216.7
18366.7 30083.3
18133.3 30133.3
18133.3 30150
18033.3 30150
18100 29933.3
18133.3 29916.7
18100 29900
18066.7 29850
18116.7 29850
18133.3 29600
18216.7 29800
18200 29916.7
18316.7 29983.3
18350 29916.7
18350 29883.3
18383.3 29866.7
18450 29816.7
18600 29833.3
18650 29783.3
18450 29450
18483.3 29416.7
18216.7 28933.3
17850 28900
17683.3 29016.7
17333.3 28933.3
17066.7 28800
17133.3 29200
16950 29300
16900 29416.7
16850 29416.7
16816.7 29683.3
16900 29750
16733.3 29883.3
16666.7 29766.7
16300 29250
16033.3 28850
16516.7 28800
16816.7 28350
17083.3 28400
17100 28400
17150 28116.7
17183.3 28066.7
17483.3 27883.3
17533.3 27900
17483.3 27950
17483.3 27983.3
17466.7 28050
17450 28266.7
17416.7 28433.3
17550 28600
18150 28383.3
18416.7 28016.7
18300 27983.3
18216.7 27950
18066.7 27833.3
17616.7 27716.7
17616.7 27333.3
17900 27300
18016.7 27133.3
17966.7 27500
18000 27566.7
18116.7 27450
18216.7 27400
18316.7 27066.7
18366.7 26483.3
17933.3 25833.3
18583.3 26316.7
18616.7 26866.7
18616.7 27166.7
18816.7 27166.7
19366.7 27050
19400 27066.7
19400 27083.3
19450 27066.7
19466.7 27066.7
19500 27100
19500 27066.7
19483.3 27050
19466.7 27033.3
19450 27016.7
19416.7 27033.3
19383.3 27016.7
19350 27016.7
19366.7 26983.3
19400 26966.7
19383.3 26916.7
19533.3 26916.7
19566.7 27033.3
19566.7 27066.7
19550 27050
19533.3 27083.3
19533.3 27100
19533.3 27133.3
19550 27166.7
19566.7 27133.3
19583.3 27133.3
19616.7 27116.7
19633.3 27100
19650 27083.3
19633.3 27066.7
19650 27050
19616.7 27033.3
19666.7 26966.7
19683.3 27016.7
19700 27033.3
19700 27066.7
19700 27083.3
19666.7 27133.3
19650 27150
19600 27166.7
19633.3 27183.3
19666.7 27250
19766.7 27216.7
19833.3 27216.7
19766.7 27316.7
19766.7 27400
19666.7 27333.3
19683.3 27383.3
19666.7 27416.7
19683.3 27433.3
19700 27466.7
19700 27500
19716.7 27583.3
19733.3 27600
19700 27650
19700 27683.3
19666.7 27700
19633.3 27716.7
19633.3 27683.3
19650 27650
19666.7 27616.7
19666.7 27566.7
19650 27550
19616.7 27516.7
19600 27566.7
19583.3 27666.7
19516.7 27650
19466.7 27666.7
19483.3 27616.7
19516.7 27533.3
19483.3 27550
19433.3 27550
19450 27516.7
19433.3 27516.7
19433.3 27500
19466.7 27466.7
19483.3 27433.3
19483.3 27450
19516.7 27483.3
19583.3 27466.7
19550 27416.7
19500 27400
19483.3 27366.7
19466.7 27366.7
19466.7 27316.7
19450 27283.3
19483.3 27283.3
19533.3 27283.3
19533.3 27216.7
19516.7 27233.3
19483.3 27233.3
19466.7 27200
19483.3 27183.3
19466.7 27150
19433.3 27133.3
19416.7 27166.7
19400 27200
19433.3 27233.3
19450 27250
19400 27283.3
19416.7 27333.3
19433.3 27400
19383.3 27466.7
19366.7 27433.3
19350 27400
19350 27383.3
19316.7 27366.7
19316.7 27333.3
19283.3 27333.3
19266.7 27366.7
19266.7 27400
19300 27416.7
19283.3 27450
19266.7 27433.3
19216.7 27483.3
19183.3 27466.7
19183.3 27516.7
19166.7 27516.7
19133.3 27533.3
18950 27516.7
18900 27466.7
18966.7 27416.7
18883.3 27416.7
18866.7 27433.3
18716.7 27550
18933.3 27766.7
19100 27966.7
19116.7 27683.3
19133.3 27650
19183.3 27683.3
19200 27666.7
19216.7 27700
19250 27716.7
19316.7 27683.3
19283.3 27666.7
19283.3 27650
19300 27633.3
19283.3 27633.3
19250 27633.3
19266.7 27600
19233.3 27600
19200 27616.7
19183.3 27600
19166.7 27583.3
19216.7 27566.7
19216.7 27533.3
19216.7 27516.7
19266.7 27516.7
19266.7 27550
19300 27533.3
19300 27516.7
19333.3 27500
19333.3 27533.3
19350 27600
19350 27633.3
19333.3 27633.3
19333.3 27650
19350 27650
19383.3 27633.3
19433.3 27633.3
19416.7 27633.3
19400 27666.7
19416.7 27716.7
19433.3 27700
19450 27700
19500 27716.7
19500 27733.3
19516.7 27750
19550 27750
19583.3 27733.3
19600 27766.7
19583.3 28033.3
19866.7 28266.7
20075.8 28406.7
20077.8 28429.4
20103.3 28475
20100 28500
20108.3 28498.9
20120.3 28511.1
20122.5 28495.6
20131.7 28494.7
20137.5 28485.8
20136.7 28456.9
20144.4 28473.3
20146.9 28492.2
20160.6 28508.1
20185.3 28495
20185 28516.9
20201.7 28534.4
20197.5 28531.9
20178.9 28534.2
20172.8 28542.8
20159.2 28560
20167.5 28556.4
20162.8 28568.6
20172.2 28578.6
20171.7 28571.4
20150 28583.3
20152.5 28584.7
20149.4 28595.3
20158.3 28601.1
20142.2 28622.8
20128.3 28631.1
20133.9 28650.6
20100.6 28652.8
20106.4 28652.8
20101.4 28645.3
20100 28638.3
20080 28658.3
20097.8 28680.8
20113.9 28685.6
20083.3 28783.3
20016.7 28850
20000 28933.3
19800 28750
19766.7 28766.7
19716.7 28800
19683.3 28850
19433.3 28950
19500 28750
19483.3 28566.7
19400 28450
19400 28400
19350 28466.7
19150 28666.7
19083.3 28716.7
19033.3 28600
19016.7 28550
19016.7 28533.3
18800 28333.3
18800 28466.7
18766.7 28500
18816.7 28650
18783.3 28666.7
18666.7 28683.3
18733.3 28816.7
19000 28900
19233.3 29250
18983.3 29300
19016.7 29733.3
19033.3 29783.3
18916.7 29816.7
18916.7 29833.3
18933.3 30050
18983.3 30100
18950 30283.3
19283.3 30533.3
19333.3 30183.3
19366.7 30016.7
19200 29816.7
19150 29800
19283.3 29616.7
19366.7 29566.7
19383.3 29600
19500 29750
END
